A,B,C,D,E,F,G,H,I,J,K,L
'IGPDH','G3PAT161','ACPPAT161','3HAD120','3OAR121','HACD5','EC55989_1442',,,'EC55989_3200','EC55989_4438','EC55989_0707'
'IGPS','G3PAT161','APG3PAT161','3HAD120','3OAR141','ACACT1r','EC55989_2555',,,'EC55989_3214','EC55989_1870','EC55989_0708'
'ILETA','G5SD','NACODA','3HAD120','3OAR141','ACACT2r','EC55989_4318',,,'EC55989_3214','EC55989_1870','EC55989_0706'
'IMPC','GLCtex_copy1','GLCtex_copy2','3HAD120','3OAR141','ACACT3r','EC55989_4107',,,'EC55989_3214','EC55989_1870','EC55989_0705'
'IPMD','GLU5K','NACODA','3HAD120','3OAR141','ACACT4r','EC55989_0395',,,'EC55989_3214','EC55989_1870','EC55989_0707'
'IPPMIa','GLUDy','GLUSy','3HAD120','3OAR141','ACACT5r','EC55989_0127',,,'EC55989_4438','EC55989_5050','EC55989_0708'
'IPPMIb','HACD1','3HAD100','3HAD120','3OAR141','ACOAD1f','EC55989_0083',,,'EC55989_4438','EC55989_5050','EC55989_0706'
'IPPS','HACD1','3HAD40','3HAD120','3OAR141','ACOAD2f','EC55989_3036',,,'EC55989_4438','EC55989_5050','EC55989_0705'
'K2L4Aabcpp','HACD1','3HAD60','3HAD120','3OAR141','ACOAD3f','EC55989_2852',,,'EC55989_4438','EC55989_5050','EC55989_0707'
'K2L4Aabctex','HACD1','3HAD80','3HAD120','3OAR141','ACOAD4f','EC55989_0052',,,'EC55989_4438','EC55989_0708','EC55989_0520'
'KARA1','HACD1','3OAR100','3HAD120','3OAR141','ACOAD5f','EC55989_2564',,,'EC55989_4438','EC55989_0706','EC55989_0520'
'KARA2','HACD1','3OAR40','3HAD120','3OAR141','ECOAH1','EC55989_3594',,,'EC55989_4438','EC55989_0705','EC55989_0520'
'KDOCT2','HACD1','3OAR60','3HAD120','3OAR141','ECOAH2','EC55989_3820',,,'EC55989_4438','EC55989_0707','EC55989_0520'
'KDOPP','HACD1','3OAR80','3HAD120','3OAR141','ECOAH3','EC55989_4460',,,'EC55989_5045','EC55989_3785','EC55989_1303'
'KDOPS','HACD1','3OAS100','3HAD120','3OAR141','ECOAH4','EC55989_0376',,,'EC55989_2482','EC55989_2944','EC55989_4796'
'Ktex','HACD1','3OAS60','3HAD120','3OAR141','ECOAH5','EC55989_4104',,,'EC55989_2482','EC55989_2943','EC55989_4796'
'LEUTAi','HACD1','3OAS80','3HAD120','3OAR141','HACD1','EC55989_4325',,,'EC55989_2483','EC55989_2944','EC55989_4796'
'LPADSS','HACD2','3HAD100','3HAD120','3OAR141','HACD2','EC55989_4490',,,'EC55989_2483','EC55989_2943','EC55989_4796'
'MALCOAMT','HACD2','3HAD40','3HAD120','3OAR141','HACD3','EC55989_2784',,,'EC55989_2944','EC55989_4796','EC55989_0933'
'MCOATA','HACD2','3HAD60','3HAD120','3OAR141','HACD4','EC55989_2285',,,'EC55989_2943','EC55989_4796','EC55989_0933'
'MCTP1App','HACD2','3HAD80','3HAD120','3OAR141','HACD5','EC55989_2759',,,'EC55989_3202','EC55989_2744','EC55989_0009'
'MECDPS','HACD2','3OAR100','3HAD120','3OAS100','ACACT5r','EC55989_2844',,,,,
'MEOHtex','HACD2','3OAR40','3HAD120','3OAS100','ACOAD5f','EC55989_2283',,,,,
'MEOHtrpp','HACD2','3OAR60','3HAD120','3OAS100','ECOAH5','EC55989_0953',,,,,
