A,B,C,D,E,F,G,H,I,J,K,L
'DAPDC','ACOAD4f','3HAD100','3HAD100','AACPS2','AACPS4','EC042_1414',,,'EC042_4123','EC042_2018','EC042_3135'
'DAPE','ACOAD4f','3OAR100','3HAD100','AACPS2','CTECOAI7_copy1','EC042_2958',,,'EC042_4123','EC042_3135','EC042_4293'
'DASYN160','ACOAD4f','3OAS100','3HAD100','AACPS2','FACOAE161','EC042_2959',,,'EC042_4196','EC042_4720','EC042_3760'
'DASYN161','ALATA_L','VPAMTr_copy1','3HAD100','AACPS4','CTECOAI6_copy1','EC042_0513',,,'EC042_4196','EC042_4720','EC042_3758'
'DB4PS','ASNS2','ASNS1','3HAD100','AACPS4','FACOAE141','EC042_0027',,,'EC042_4196','EC042_4720','EC042_3757'
'DBTS','CPPPGO','CPPPGO2','3HAD100','AACPS7','AACPS8','EC042_4116',,,'EC042_4196','EC042_4720','EC042_3756'
'DDPA','CTECOAI7_copy1','3HAD161','3HAD100','AACPS7','FACOAE100','EC042_0154',,,'EC042_4196','EC042_4720','EC042_3759'
'DHAD1','CTECOAI7_copy1','3OAR161','3HAD100','AACPS8','ACACT5r','EC042_3918',,,'EC042_0374','EC042_1000','EC042_2938'
'DHAD2','CTECOAI7_copy1','3OAS161','3HAD100','AACPS8','ACOAD5f','EC042_1546',,,'EC042_1871','EC042_2801','EC042_0774'
'DHDPRy','DALAt2pp','EX_ala__D_e','3HAD100','AACPS8','ECOAH5','EC042_4115',,,'EC042_4158','EC042_2788','EC042_3783'
'DHDPS','DALAt2pp','DALAtex','3HAD100','AACPS8','FACOAE120','EC042_2553',,,'EC042_1780','EC042_1779','EC042_4331'
'DHFR','DMPPS','IPDDI','3HAD100','AACPS8','HACD5','EC042_4342',,,'EC042_1945','EC042_4377','EC042_1869'
'DHFS','ECOAH1','3HAD100','3HAD100','ACACT5r','FACOAE100','EC042_1267',,,'EC042_1945','EC042_1869','EC042_0739'
'DHNPA2r','ECOAH1','3HAD40','3HAD100','ACOAD5f','FACOAE100','EC042_2616',,,'EC042_1945','EC042_1869','EC042_0740'
'DHORTS','ECOAH1','3HAD60','3HAD100','CTECOAI6_copy1','CTECOAI7_copy1','EC042_2708',,,'EC042_1945','EC042_1869','EC042_0742'
'DHPPDA2','ECOAH1','3HAD80','3HAD100','CTECOAI6_copy1','FACOAE161','EC042_2386',,,'EC042_1945','EC042_1869','EC042_0741'
'DHPS2','ECOAH1','3OAR100','3HAD100','CTECOAI7_copy1','FACOAE141','EC042_1402',,,'EC042_1945','EC042_3124','EC042_4293'
'DHPTDCs2','ECOAH1','3OAR40','3HAD100','ECOAH5','FACOAE100','EC042_4409',,,'EC042_2978','EC042_3664','EC042_1869'
'DHQS','ECOAH1','3OAR60','3HAD100','FACOAE100','FACOAE120','EC042_2263',,,'EC042_2019','EC042_3703','EC042_3647'
'DHQTi','ECOAH1','3OAR80','3HAD100','FACOAE100','HACD5','EC042_2265',,,'EC042_3115','EC042_0572','EC042_3123'
'DMATT','ECOAH1','3OAS100','3HAD100','FACOAE141','FACOAE161','EC042_4180',,,'EC042_3115','EC042_0572','EC042_4885'
'DNMPPA','ECOAH1','3OAS60','3HAD120','3HAD121','ACACT1r','EC042_2335',,,'EC042_3116','EC042_0572','EC042_3123'
'DNTPPA','ECOAH1','3OAS80','3HAD120','3HAD121','ACACT2r','EC042_0142',,,'EC042_3116','EC042_0572','EC042_4885'
'DPCOAK','ECOAH2','3HAD100','3HAD120','3HAD121','ACACT3r','EC042_0002',,,'EC042_3114','EC042_0572','EC042_3123'
'DPR','ECOAH2','3HAD40','3HAD120','3HAD121','ACACT4r','EC042_4375',,,'EC042_3114','EC042_0572','EC042_4885'
'DTMPK','ECOAH2','3HAD60','3HAD120','3HAD121','ACACT5r','EC042_2264',,,'EC042_3703','EC042_0786','EC042_3647'
'DXPRIi','ECOAH2','3HAD80','3HAD120','3HAD121','ACOAD1f','EC042_2734',,,'EC042_3783','EC042_2475','EC042_4716'
'DXPS','ECOAH2','3OAR100','3HAD120','3HAD121','ACOAD2f','EC042_4182',,,'EC042_3783','EC042_2474','EC042_4716'
'E4PD','ECOAH2','3OAR40','3HAD120','3HAD121','ACOAD3f','EC042_1207',,,'EC042_3078','EC042_4377','EC042_4331'
'EGMEACPR','ECOAH2','3OAR60','3HAD120','3HAD121','ACOAD4f','EC042_2268',,,'EC042_3078','EC042_4331','EC042_0739'
'EPMEACPR','ECOAH2','3OAR80','3HAD120','3HAD121','ACOAD5f','EC042_2266',,,'EC042_3078','EC042_4331','EC042_0740'
'FCLT','ECOAH2','3OAS100','3HAD120','3HAD121','ECOAH1','EC042_1388',,,'EC042_3078','EC042_4331','EC042_0742'
'FMNAT','ECOAH2','3OAS60','3HAD120','3HAD121','ECOAH2','EC042_4148',,,'EC042_3078','EC042_4331','EC042_0741'
'G1PACT','ECOAH2','3OAS80','3HAD120','3HAD121','ECOAH3','EC042_0076',,,'EC042_3079','EC042_4377','EC042_4331'
'G1SAT','ECOAH3','3HAD100','3HAD120','3HAD121','ECOAH4','EC042_0075',,,'EC042_3079','EC042_4331','EC042_0739'
'G3PD2','ECOAH3','3HAD40','3HAD120','3HAD121','ECOAH5','EC042_0074',,,'EC042_3079','EC042_4331','EC042_0740'
'G5SADs','ECOAH3','3HAD60','3HAD120','3HAD121','HACD1','EC042_0077',,,'EC042_3079','EC042_4331','EC042_0742'
'GCALDD','ECOAH3','3HAD80','3HAD120','3HAD121','HACD2','EC042_1008',,,'EC042_3079','EC042_4331','EC042_0741'
'GF6PTA','ECOAH3','3OAR100','3HAD120','3HAD121','HACD3','EC042_3488',,,'EC042_3077','EC042_4377','EC042_4331'
'GK1','ECOAH3','3OAR40','3HAD120','3HAD121','HACD4','EC042_1272',,,'EC042_3077','EC042_4331','EC042_0739'
'GLNS','ECOAH3','3OAR60','3HAD120','3HAD121','HACD5','EC042_0180',,,'EC042_3077','EC042_4331','EC042_0740'
'GLUPRT','ECOAH3','3OAR80','3HAD120','3HAD141','ACACT1r','EC042_0860',,,'EC042_3077','EC042_4331','EC042_0742'
'GLUR','ECOAH3','3OAS100','3HAD120','3HAD141','ACACT2r','EC042_1162',,,'EC042_3077','EC042_4331','EC042_0741'
'GLUTRR','ECOAH3','3OAS60','3HAD120','3HAD141','ACACT3r','EC042_2719',,,'EC042_4377','EC042_0572','EC042_4331'
'GLUTRS','ECOAH3','3OAS80','3HAD120','3HAD141','ACACT4r','EC042_2940',,,'EC042_4377','EC042_3123','EC042_4331'
'GMPS2','ECOAH4','3HAD100','3HAD120','3HAD141','ACACT5r','EC042_2941',,,'EC042_4377','EC042_3135','EC042_1869'
'GRTT','ECOAH4','3OAR100','3HAD120','3HAD141','ACOAD1f','EC042_3149',,,'EC042_4377','EC042_4331','EC042_4885'
'GTPCI','ECOAH4','3OAS100','3HAD120','3HAD141','ACOAD2f','EC042_0868',,,'EC042_4377','EC042_4331','EC042_0549'
'GTPCII2','FACOAE120','3HAD120','3HAD120','3HAD141','ACOAD3f','EC042_3940',,,'EC042_3258','EC042_4376','EC042_4331'
'HBZOPT','FACOAE120','3OAR120','3HAD120','3HAD141','ACOAD4f','EC042_0135',,,'EC042_3657','EC042_0149','EC042_2723'
'HCO3E','FACOAE120','3OAS120','3HAD120','3HAD141','ACOAD5f','EC042_0010',,,'EC042_0783','EC042_2634','EC042_4291'
'HISTD','FACOAE160','3HAD160','3HAD120','3HAD141','ECOAH1','EC042_1136',,,'EC042_2634','EC042_0784','EC042_4291'
'HISTP','FACOAE160','3OAR160','3HAD120','3HAD141','ECOAH2','EC042_0869',,,'EC042_2634','EC042_0782','EC042_4291'
'HMBS','FACOAE160','3OAS160','3HAD120','3HAD141','ECOAH3','EC042_0915',,,'EC042_0572','EC042_0992','EC042_4327'
'HPPK2','FACOAE161','3HAD161','3HAD120','3HAD141','ECOAH4','EC042_4317',,,'EC042_0572','EC042_0992','EC042_4326'
'HSDy','FACOAE161','3OAR161','3HAD120','3HAD141','ECOAH5','EC042_2814',,,'EC042_0572','EC042_4331','EC042_0739'
'HSK','FACOAE161','3OAS161','3HAD120','3HAD141','HACD1','EC042_1905',,,'EC042_0572','EC042_4331','EC042_0740'
'HSST','FE2tex','EX_fe3_e','3HAD120','3HAD141','HACD2','EC042_0674',,,'EC042_0572','EC042_4331','EC042_0742'
'HSTPT','FUM','EX_succ_e','3HAD120','3HAD141','HACD3','EC042_0108',,,'EC042_0572','EC042_4331','EC042_0741'
'ICDHyr','FUM','SUCCtex','3HAD120','3HAD141','HACD4','EC042_4729',,,'EC042_1403','EC042_0932','EC042_3351'
'ICYSDS','G3PAT160','ACPPAT160','3HAD120','3HAD141','HACD5','EC042_3477',,,'EC042_3123','EC042_4331','EC042_0739'
'IG3PS','G3PAT160','APG3PAT160','3HAD120','3OAR100','ACACT5r','EC042_0997',,,'EC042_3123','EC042_4331','EC042_0740'
'IGPDH','G3PAT161','ACPPAT161','3HAD120','3OAR100','ACOAD5f','EC042_1406',,,'EC042_3123','EC042_4331','EC042_0742'
'IGPS','G3PAT161','APG3PAT161','3HAD120','3OAR100','ECOAH5','EC042_2552',,,'EC042_3123','EC042_4331','EC042_0741'
'ILETA','G5SD','NACODA','3HAD120','3OAR100','HACD5','EC042_4221',,,'EC042_3135','EC042_1869','EC042_0739'
'IMPC','GLCtex_copy1','GLCtex_copy2','3HAD120','3OAR121','ACACT1r','EC042_3948',,,'EC042_3135','EC042_1869','EC042_0740'
'IPMD','GLU5K','NACODA','3HAD120','3OAR121','ACACT2r','EC042_0419',,,'EC042_3135','EC042_1869','EC042_0742'
'IPPMIa','GLUDy','GLUSy','3HAD120','3OAR121','ACACT3r','EC042_0134',,,'EC042_3135','EC042_1869','EC042_0741'
'IPPMIb','HACD1','3HAD100','3HAD120','3OAR121','ACACT4r','EC042_0088',,,'EC042_3135','EC042_3124','EC042_4293'
'IPPS','HACD1','3HAD40','3HAD120','3OAR121','ACACT5r','EC042_2957',,,'EC042_4331','EC042_4885','EC042_0739'
'K2L4Aabcpp','HACD1','3HAD60','3HAD120','3OAR121','ACOAD1f','EC042_0056',,,'EC042_4331','EC042_4885','EC042_0740'
'K2L4Aabctex','HACD1','3HAD80','3HAD120','3OAR121','ACOAD2f','EC042_2768',,,'EC042_4331','EC042_4885','EC042_0742'
'KARA1','HACD1','3OAR100','3HAD120','3OAR121','ACOAD3f','EC042_2561',,,'EC042_4331','EC042_4885','EC042_0741'
'KARA2','HACD1','3OAR40','3HAD120','3OAR121','ACOAD4f','EC042_3467',,,'EC042_4331','EC042_0739','EC042_0549'
'KDOCT2','HACD1','3OAR60','3HAD120','3OAR121','ACOAD5f','EC042_3673',,,'EC042_4331','EC042_0740','EC042_0549'
'KDOPP','HACD1','3OAR80','3HAD120','3OAR121','ECOAH1','EC042_4346',,,'EC042_4331','EC042_0742','EC042_0549'
'KDOPS','HACD1','3OAS100','3HAD120','3OAR121','ECOAH2','EC042_0403',,,'EC042_4331','EC042_0741','EC042_0549'
'Ktex','HACD1','3OAS60','3HAD120','3OAR121','ECOAH3','EC042_3945',,,'EC042_3641','EC042_4880','EC042_1264'
'LEUTAi','HACD1','3OAS80','3HAD120','3OAR121','ECOAH4','EC042_4228',,,'EC042_2475','EC042_2874','EC042_4716'
'LPADSS','HACD2','3HAD100','3HAD120','3OAR121','ECOAH5','EC042_4372',,,'EC042_2475','EC042_2873','EC042_4716'
'MALCOAMT','HACD2','3HAD40','3HAD120','3OAR121','HACD1','EC042_2700',,,'EC042_2474','EC042_2874','EC042_4716'
'MCOATA','HACD2','3HAD60','3HAD120','3OAR121','HACD2','EC042_2269',,,'EC042_2474','EC042_2873','EC042_4716'
'MCTP1App','HACD2','3HAD80','3HAD120','3OAR121','HACD3','EC042_2677',,,'EC042_2874','EC042_4716','EC042_0980'
'MECDPS','HACD2','3OAR100','3HAD120','3OAR121','HACD4','EC042_2761',,,'EC042_2873','EC042_4716','EC042_0980'
'MEOHtex','HACD2','3OAR40','3HAD120','3OAR121','HACD5','EC042_2267',,,'EC042_3124','EC042_0009','EC042_2663'
'MEOHtrpp','HACD2','3OAR60','3HAD120','3OAR141','ACACT1r','EC042_0998',,,,,
'MEPCT','HACD2','3OAR80','3HAD120','3OAR141','ACACT2r','EC042_4635',,,,,
'METAT','HACD2','3OAS100','3HAD120','3OAR141','ACACT3r','EC042_2791',,,,,
'METS','HACD2','3OAS60','3HAD120','3OAR141','ACACT4r','EC042_3941',,,,,
'MG2tex','HACD2','3OAS80','3HAD120','3OAR141','ACACT5r','EC042_0770',,,,,
'MNtex','HACD3','3HAD100','3HAD120','3OAR141','ACOAD1f','EC042_1831',,,,,
'MOADSUx','HACD3','3HAD40','3HAD120','3OAR141','ACOAD2f','EC042_0450',,,,,
'MOAT','HACD3','3HAD60','3HAD120','3OAR141','ACOAD3f','EC042_2884',,,,,
'MOAT2','HACD3','3HAD80','3HAD120','3OAR141','ACOAD4f','EC042_2946',,,,,
'MOBDabcpp','HACD3','3OAR100','3HAD120','3OAR141','ACOAD5f','EC042_2945',,,,,
'MOBDtex','HACD3','3OAR40','3HAD120','3OAR141','ECOAH1','EC042_2672',,,,,
'MOCOS','HACD3','3OAR60','3HAD120','3OAR141','ECOAH2','EC042_3917',,,,,
